benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
FreeSolv,DNGO-Joint,44,1.3200000000000003,24,259,-2.11,373.226,1.7352565993953553,2.3969763617999327,0.29103641456582635,4.0061493860850055,2.7051825440706154,357
FreeSolv,DNGO-Joint,46,0.8800000000000003,24,259,-2.55,380.234,2.0247293953432037,2.4461012450062927,0.26890756302521013,4.098874639075148,2.9779136826824164,357
FreeSolv,DNGO-Joint,47,0.31000000000000005,24,259,-3.12,393.411,1.9443226687241715,2.4894702250411305,0.2851540616246499,4.379536153872347,2.841473443471881,357
FreeSolv,DNGO-Joint,45,1.3200000000000003,24,259,-2.11,413.869,1.8954347169579646,2.432611925472282,0.26078431372549016,4.100973869308498,5.1633311536654185,357
FreeSolv,DNGO-Joint,49,0.5,24,259,-2.93,394.15,1.9349449473850402,2.420544530998209,0.2577030812324931,4.009276080508055,2.0301996047933653,357
FreeSolv,DNGO-Joint,48,0.5,24,259,-2.93,398.059,1.7515927286103348,2.3809097578347256,0.28151260504201686,3.9166666611251975,2.778043522551716,357
FreeSolv,DNGO-Joint,51,0.5500000000000003,24,259,-2.88,383.558,1.956564968249881,2.4319115247265906,0.28375350140056027,4.056587758051108,4.021968116030322,357
FreeSolv,DNGO-Joint,50,0.27,24,259,-3.16,393.986,2.10227339080178,2.456099091188392,0.26470588235294124,4.093652721929214,2.1662819765169194,357
FreeSolv,DNGO-Gradient,42,2.3600000000000003,24,259,-1.07,405.51,1.9118986539803813,2.419773734918276,0.25322128851540615,4.024533996459826,2.2847008442154575,357
FreeSolv,DNGO-Gradient,43,0.5,24,259,-2.93,428.563,2.151146116332152,2.4563751451742917,0.25126050420168067,4.07540965534383,2.395012613746355,357
FreeSolv,DNGO-Gradient,44,0.45999999999999996,24,259,-2.97,430.962,1.8181125829174625,2.4147070141129863,0.28235294117647064,4.048622394544137,2.827716522349801,357
FreeSolv,DNGO-Gradient,45,0.5,24,259,-2.93,426.477,1.9060541499356978,2.463015674669279,0.2610644257703081,4.254909930806845,2.6958456171212286,357
FreeSolv,DNGO-Gradient,46,1.5100000000000002,24,259,-1.92,407.142,2.0285822298646563,2.4526464335182148,0.2610644257703082,4.134773790176661,3.0208092536153837,357
FreeSolv,DNGO-Gradient,47,0.31000000000000005,24,259,-3.12,407.963,1.9150969663071764,2.4623468300026694,0.2705882352941177,4.246994614776539,2.556722981628422,357
FreeSolv,Knowledge Distillation,43,0.5,24,259,-2.93,323.91,2.05644378288624,2.456730849377475,0.2442577030812325,4.1396389818612995,2.2552318900273813,357
FreeSolv,DNGO-Gradient,48,0.31000000000000005,24,259,-3.12,408.603,1.8644828734926724,2.4067869066878838,0.26918767507002805,3.983744424499295,2.7327588845502344,357
FreeSolv,DNGO-Gradient,49,0.5,24,259,-2.93,403.797,1.892831725578843,2.423596803654998,0.26162464985994405,4.052597316719464,3.07878241053812,357
FreeSolv,Knowledge Distillation,42,2.3600000000000003,24,259,-1.07,341.633,1.8834613931763486,2.4379511311302986,0.24873949579831933,4.131499412740449,1.843304372520959,357
FreeSolv,Knowledge Distillation,44,0.27,24,259,-3.16,312.781,1.9504087495162905,2.3696571313364143,0.23613445378151265,3.7417596265449844,1.9301929811983152,357
FreeSolv,Knowledge Distillation,45,1.37,24,259,-2.06,315.337,1.97805851048625,2.443599229284065,0.24005602240896362,4.1082738221672255,1.9604221141686728,357
FreeSolv,DNGO-Gradient,51,0.5500000000000003,24,259,-2.88,416.866,1.9384892148791646,2.447751892955388,0.26498599439775916,4.153443760778622,2.790441382215334,357
FreeSolv,Knowledge Distillation,46,1.6400000000000001,24,259,-1.79,335.863,2.074715420981717,2.457900233868328,0.2515406162464986,4.131467736932896,2.096189600551925,357
FreeSolv,DNGO-Gradient,50,0.5500000000000003,24,259,-2.88,439.854,1.9908996408639945,2.4626780943890045,0.2750700280112045,4.20180159696566,2.2146078139206384,357
FreeSolv,Knowledge Distillation,47,0.31000000000000005,24,259,-3.12,329.993,1.9211015226550077,2.4981636903094553,0.2753501400560225,4.438887990415505,1.936389011665535,357
FreeSolv,Knowledge Distillation,48,0.31000000000000005,24,259,-3.12,321.447,1.9069212946840117,2.4161544180708794,0.2683473389355743,4.006849668697686,1.9124189223614059,357
FreeSolv,Knowledge Distillation,49,0.5,24,259,-2.93,310.554,1.9434893475227022,2.4260061139428992,0.2523809523809525,4.032667380771165,2.0291895955458794,357
FreeSolv,Knowledge Distillation,50,0.27,24,259,-3.16,311.468,2.083212665150491,2.4290098944819922,0.24649859943977592,3.9602465882886593,1.9749288759988686,357
FreeSolv,Knowledge Distillation,51,0.7600000000000002,24,259,-2.67,320.49,1.9128072201083817,2.4450666022375684,0.2652661064425771,4.151726187292294,2.436729981729143,357
FreeSolv,Domain Adaptation (MMD),42,2.3600000000000003,24,259,-1.07,608.678,1.9059406833313264,2.4277351007936883,0.2439775910364146,4.065488478027877,1.912600763058721,357
FreeSolv,Domain Adaptation (MMD),43,1.0900000000000003,24,259,-2.34,654.363,2.007309298460789,2.4727081761431644,0.24761904761904763,4.25171799187086,2.8383760700091116,357
FreeSolv,Domain Adaptation (MMD),45,1.6400000000000001,24,259,-1.79,623.481,1.9784861644482723,2.446404687213713,0.2442577030812325,4.1253730287842165,1.9616185463006324,357
FreeSolv,Soft Parameter Sharing,42,0.5,24,259,-2.93,375.99,1.8683743487740474,2.427469137452872,0.25294117647058834,4.078829113447396,2.613826603135049,357
FreeSolv,Domain Adaptation (MMD),44,0.27,24,259,-3.16,674.881,1.934776952642939,2.3623580863422857,0.238655462184874,3.7140756698875874,1.9215864384733048,357
FreeSolv,Domain Adaptation (MMD),46,0.5,24,259,-2.93,634.396,2.129372652873723,2.4625535518991426,0.24789915966386555,4.1211258697818005,2.2545816795237217,357
FreeSolv,Soft Parameter Sharing,43,0.45999999999999996,24,259,-2.97,398.776,2.0440227794431354,2.4347190300285138,0.23949579831932777,4.0104597024575535,2.9655136625714613,357
