benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
Park-Fav,Curriculum,50,1.137312731133618e-07,4,55,1.137312731133618e-07,481.386,9.5,0.5543824217542948,2.4235109200128235,0.42233502538071077,4.468471778229141,2.883164118009238,197
Park-Fav,Curriculum,51,0.9061440243658865,4,55,0.9061440243658865,503.832,9.5,0.541667805802252,2.466998896410481,0.42385786802030456,4.672853461121606,3.3089116897586455,197
Park-Fav,Two-Stage Joint,42,0.9061440243658865,4,55,0.9061440243658865,648.585,9.5,0.712644249128564,2.4459653777488684,0.4025380710659898,4.550166545272266,3.736254046181093,197
Park-Fav,Two-Stage Joint,43,0.9061440243658865,4,55,0.9061440243658865,678.257,9.5,0.6355597169063748,2.3796433932329673,0.40507614213197973,4.263441771543597,4.077912607875228,197
Park-Fav,Two-Stage Joint,44,2.0780363189549918e-07,4,55,2.0780363189549918e-07,672.905,9.5,0.4368697015376041,2.3929620543975907,0.4406091370558376,4.34600669141528,3.964031833382462,197
Park-Fav,Two-Stage Joint,45,1.2568338725877952,4,55,1.2568338725877952,672.628,9.5,0.6363096856066244,2.3867537009891087,0.40862944162436554,4.294329760984864,3.7859527189821858,197
Park-Fav,Two-Stage Joint,46,0.9061440243658865,4,55,0.9061440243658865,697.626,9.5,0.5907158421000558,2.3903230032676532,0.42030456852791886,4.31710960325612,3.585032768957838,197
Park-Fav,Two-Stage Joint,47,0.9061440243658865,4,55,0.9061440243658865,692.298,9.5,0.7175874195236345,2.4038910330780063,0.40812182741116754,4.3596269237292145,2.5374821212288308,197
Park-Fav,Two-Stage Joint,48,0.9061440243658865,4,55,0.9061440243658865,667.538,9.5,0.5866320894731961,2.430807917464016,0.41675126903553295,4.497473975678519,2.8916721541595263,197
Park-Fav,Two-Stage Joint,49,0.9061228918802969,4,55,0.9061228918802969,677.223,9.5,0.5968322238136784,2.472475902608234,0.41472081218274115,4.691525385281877,2.9248561069477885,197
Park-Fav,Two-Stage Joint,50,0.9061440243658865,4,55,0.9061440243658865,694.109,9.5,0.6893070771297922,2.4244046058973585,0.40456852791878173,4.452763302246213,2.0332445372116097,197
