benchmark,model,acq,mean
Park-Fav,Sequential,ts,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,greedy,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,ei,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,pi,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,ucb,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,mes,1.0873127313836177e-07
Park-Fav,Soft Parameter Sharing,ts,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,greedy,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,ei,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,pi,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,ucb,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,mes,1.0873127313836177e-07
Park-Fav,Two-Stage Joint,ts,1.0873127313836177e-07
Park-Unfav,Adapter,greedy,0.09060951958593781
Park-Unfav,Adapter,ei,0.09060952056559661
Park-Unfav,Adapter,pi,0.0906095174874191
Park-Unfav,Adapter,ucb,0.09060951778521308
Park-Unfav,Adapter,mes,0.09060951556605734
Park-Unfav,Adapter,ts,1.1029422195939016e-07
Park-Unfav,Curriculum,greedy,1.501287311019684e-07
Park-Unfav,Curriculum,ei,1.3253520952009208e-07
Park-Unfav,Curriculum,pi,1.377921870017256e-07
Park-Unfav,Curriculum,ucb,1.3350597176151246e-07
Park-Unfav,Curriculum,mes,1.309141114661638e-07
Park-Unfav,Curriculum,ts,1.1014988439281443e-07
Park-Unfav,DNGO-Gradient,greedy,1.1279888148876162e-07
Park-Unfav,DNGO-Gradient,ei,1.1358707499769999e-07
Park-Unfav,DNGO-Gradient,pi,1.1126945754308564e-07
Park-Unfav,DNGO-Gradient,ucb,1.2208178996169519e-07
Park-Unfav,DNGO-Gradient,mes,1.2202797735270887e-07
Park-Unfav,DNGO-Gradient,ts,1.1031898637069469e-07
Park-Unfav,DNGO-Joint,greedy,0.04530480823104528
Park-Unfav,DNGO-Joint,ei,1.2661891079609685e-07
Park-Unfav,DNGO-Joint,pi,0.04530481305086728
Park-Unfav,DNGO-Joint,ucb,1.1980359277125718e-07
Park-Unfav,DNGO-Joint,mes,1.1979282402448096e-07
Park-Unfav,DNGO-Joint,ts,1.1045967096920002e-07
Park-Unfav,Domain Adaptation (MMD),greedy,1.3400244381103926e-07
Park-Unfav,Domain Adaptation (MMD),ei,1.2828471609161208e-07
Park-Unfav,Domain Adaptation (MMD),pi,1.3385810624446355e-07
Park-Unfav,Domain Adaptation (MMD),ucb,1.3101986941734e-07
Park-Unfav,Domain Adaptation (MMD),mes,1.330587668504437e-07
Park-Unfav,Domain Adaptation (MMD),ts,1.1049834610360146e-07
Park-Unfav,Knowledge Distillation,greedy,1.1901976799012744e-07
Park-Unfav,Knowledge Distillation,ei,1.2439462173364713e-07
Park-Unfav,Knowledge Distillation,pi,1.1704624351849148e-07
Park-Unfav,Knowledge Distillation,ucb,1.2485109624722394e-07
Park-Unfav,Knowledge Distillation,mes,1.2483435353179847e-07
Park-Unfav,Knowledge Distillation,ts,1.1020967097045001e-07
Park-Unfav,Progressive,greedy,0.04530482036637328
Park-Unfav,Progressive,ei,1.1998142310929022e-07
Park-Unfav,Progressive,pi,0.04530481749476515
Park-Unfav,Progressive,ucb,1.289250725126963e-07
Park-Unfav,Progressive,mes,1.288652859350607e-07
Park-Unfav,Progressive,ts,1.1045967096920002e-07
Park-Unfav,Pseudo-Labeling,greedy,1.249827499732494e-07
Park-Unfav,Pseudo-Labeling,ei,1.2026207654656265e-07
Park-Unfav,Pseudo-Labeling,pi,1.3188458177282758e-07
Park-Unfav,Pseudo-Labeling,ucb,1.27185019789375e-07
Park-Unfav,Pseudo-Labeling,mes,1.2677364010220219e-07
Park-Unfav,Pseudo-Labeling,ts,1.1049834610360146e-07
Park-Unfav,Sequential,greedy,0.04530481041871752
