benchmark,model,seed,final_regret,n_hf,n_lf,best_y,elapsed_sec,calib_budget,lf_rmse,lf_nll,lf_ece,lf_sharpness,hf_rmse,n_held
Polarizability,DKL Multi-Fidelity,47,0.15281329923273657,16,83,-0.8471867007672634,1134.192,29.86,0.037330323120580426,-1.5597455705240688,0.18859903381642512,0.07373640686273575,0.06287135776994134,1035
Polarizability,DKL Multi-Fidelity,48,0.0,16,83,-1.0,1132.007,29.86,0.05707753361260683,-1.384416189740327,0.055169082125603876,0.07376238703727722,0.06655185815046169,1035
Polarizability,DKL Multi-Fidelity,49,0.2710997442455244,16,83,-0.7289002557544756,1131.665,29.86,0.04216444939519299,-1.5317632901679445,0.1685990338164251,0.0737251490354538,0.05501665787747935,1035
Polarizability,DKL Multi-Fidelity,50,0.2119565217391305,16,83,-0.7880434782608695,1131.081,29.86,0.044061214755408036,-1.5355443989176434,0.19980676328502422,0.07387115806341171,0.03954922514019442,1035
Polarizability,DKL Multi-Fidelity,51,0.0,16,83,-1.0,1130.15,29.86,0.05158706960556907,-1.4596286507683787,0.12082125603864738,0.07418999820947647,0.07082068987463297,1035
Polarizability,Sparse MFGP,42,0.40441176470588236,16,83,-0.5955882352941176,1791.271,29.86,0.08459553897758713,-1.0711507408861318,0.16570048309178742,0.115916907787323,0.10980452853534807,1035
Polarizability,Sparse MFGP,43,0.39034526854219953,16,83,-0.6096547314578005,1792.489,29.86,0.06579894978566413,-1.1702744256998252,0.21468599033816424,0.10948076099157333,0.05998432332271155,1035
HOPV15,NARGP,43,2.469999999999999,15,149,-7.73,992.6,29.9,2.047871160538284,2.8333851578383524,0.08078947368421052,1.4706335100830437,2.233441251983796,76
Polarizability,Sparse MFGP,44,0.1275575447570333,16,83,-0.8724424552429667,1777.819,29.86,0.10886371134547652,-0.9054990364148343,0.10425120772946864,0.12210284918546677,0.12868083716350825,1035
HOPV15,NARGP,42,0.0,15,149,-10.2,1193.195,29.9,1.9897890325793037,3.245400993815425,0.10157894736842103,1.363824598502619,2.7289361421344736,76
Polarizability,Sparse MFGP,45,0.39034526854219953,16,83,-0.6096547314578005,1759.492,29.86,0.10931440153797922,-0.9294242695611575,0.07652173913043481,0.11585143208503723,0.14812402467826813,1035
Polarizability,Sparse MFGP,46,0.0,16,83,-1.0,1745.882,29.86,0.20682745668742047,-0.18526066223347834,0.06855072463768115,0.2183743268251419,0.25058437395188543,1035
Polarizability,Sparse MFGP,47,0.4635549872122763,16,83,-0.5364450127877237,1730.523,29.86,0.06875216776162918,-1.1782771096756992,0.20183574879227056,0.10703002661466599,0.2133192299929773,1035
Polarizability,Sparse MFGP,48,0.0,16,83,-1.0,1730.405,29.86,0.10233615234279547,-0.9422986786066899,0.12859903381642512,0.12337368726730347,0.15245284125120362,1035
Polarizability,Sparse MFGP,49,0.36476982097186716,16,83,-0.6352301790281328,1707.501,29.86,0.06741602244831763,-1.160417417860723,0.21536231884057971,0.11036748439073563,0.13278632792821854,1035
Polarizability,Sparse MFGP,50,0.21547314578005117,16,83,-0.7845268542199488,1696.688,29.86,0.06087603439485823,-1.187456660228827,0.23091787439613531,0.10982773452997208,0.07355253112750244,1035
Polarizability,Sparse MFGP,51,0.0,16,83,-1.0,1695.736,29.86,0.09943695951004032,-1.028021356852601,0.08512077294685992,0.1057366281747818,0.07961035608434877,1035
HOPV15,NARGP,45,4.129999999999999,15,149,-6.07,836.253,29.9,2.018122216121701,2.5794617422092165,0.10657894736842104,1.402446763906611,2.7686320306436905,76
HOPV15,NARGP,44,2.6099999999999994,15,149,-7.59,991.887,29.9,2.071600369853248,2.569705351107864,0.09657894736842101,1.498439904027353,2.3143434416002564,76
HOPV15,NARGP,49,4.299999999999999,15,149,-5.9,880.374,29.9,2.1392671802924403,2.8428330419343535,0.08026315789473683,1.4728651874568433,2.182889044023641,76
HOPV15,NARGP,46,2.469999999999999,15,149,-7.73,1063.679,29.9,2.2117078418982996,3.0159546734535905,0.08552631578947366,1.5291360956551856,2.2540015796167636,76
HOPV15,NARGP,47,3.789999999999999,15,149,-6.41,1003.316,29.9,2.1453116694619143,2.724623070531439,0.09789473684210524,1.4633722673561278,2.2766378283854376,76
